UI Element,UI Type,Route/Path,Feature Name,User Story ID,Database Tables,data-testid,Vai trò,Status,Notes
Công việc,Sidebar Group,-,Nhóm quản lý công việc,-,-,-,ALL,,Collapsible group
├─ Danh sách Task,Sidebar Item,/tasks,Xem task được giao,"EMP-01-01, EMP-01-02","tasks, task_assignees, task_statuses",sidebar-tasks,ALL,,
├─ Kanban Board,Sidebar Item,/tasks/kanban,Kanban view cho tasks,EMP-01-01,"tasks, task_statuses",sidebar-kanban,ALL,,Drag-drop columns
├─ Tạo Task mới,Sidebar Item,/tasks/new,Form tạo task mới,"MNG-01-02, EMP-01-03","tasks, projects, users",sidebar-new-task,MNG,,
Dự án,Sidebar Group,-,Nhóm quản lý dự án,-,-,-,MNG+,,
├─ Danh sách Dự án,Sidebar Item,/projects,Xem tất cả dự án,"MNG-01-01, CEO-01-01","projects, project_members",sidebar-projects,MNG+,,
├─ Tạo Dự án mới,Sidebar Item,/projects/new,Form tạo dự án mới,MNG-01-01,"projects, project_members",sidebar-new-project,MNG+,,
Báo cáo,Sidebar Group,-,Nhóm báo cáo,-,-,-,ALL,,
├─ Danh sách Báo cáo,Sidebar Item,/reports,Xem/Tạo báo cáo,"EMP-03-01, MNG-04-03, CEO-03-01","reports, report_comments",sidebar-reports,ALL,,
├─ Phân tích Chi phí,Sidebar Item,/reports/cost-analysis,Báo cáo chi phí,CEO-02-01,"time_logs, hr_career_path",sidebar-cost-analysis,CEO,,
Nhật ký Thời gian,Sidebar Item,/time-logs,Log time làm việc,"EMP-02-01, EMP-02-02, EMP-02-03","time_logs, tasks",sidebar-time-logs,ALL,,
Hoạt động,Sidebar Item,/activity,Xem activity feed,"EMP-04-01, MNG-06-01, CEO-04-01",activity_logs,sidebar-activity,ALL,,
Thông báo,Sidebar Item,/notifications,Xem thông báo,"EMP-05-01, MNG-07-01, CEO-05-01",notifications,sidebar-notifications,ALL,,
Cảnh báo,Sidebar Item,/alerts,"Cảnh báo ""đỏ""",CEO-05-02,"tasks, projects",sidebar-alerts,CEO,,Critical alerts only
HR,Sidebar Group,-,Nhóm quản lý nhân sự,-,-,-,MNG+,,
├─ Quản lý Nhân sự,Sidebar Item,/hr-management,Hồ sơ nhân sự,"MNG-03-01, CEO-02-01","users, hr_career_path",sidebar-hr,MNG+,,
├─ Hợp đồng,Sidebar Item,/hr/contracts,Hợp đồng lao động,CEO-02-03,"hr_contracts, users",sidebar-contracts,CEO,,
Personal,Sidebar Group,-,Nhóm cá nhân,-,-,-,ALL,,
├─ Kanban Cá nhân,Sidebar Item,/personal-board,Task cá nhân riêng tư,"EMP-07-01, MNG-10-01, CEO-07-01",personal_tasks,sidebar-personal-board,ALL,,
├─ Thùng rác,Sidebar Item,/recycle-bin,Khôi phục đã xóa,"EMP-06-01, MNG-08-01","tasks, projects",sidebar-recycle-bin,ALL,,
Cài đặt,Sidebar Group,-,Nhóm cài đặt,-,-,-,ALL,,
├─ Hồ sơ,Sidebar Item,/settings/profile,Profile cá nhân,EMP-00-01,users,sidebar-profile,ALL,,
├─ Workspace,Sidebar Item,/settings/workspace,Cấu hình tổ chức,ORG-03-01,organizations,sidebar-workspace,ORG,,
├─ Danh mục,Sidebar Item,/settings/lookups,Status/Priority/Type,ORG-03-03,"task_statuses, task_priorities, task_types",sidebar-lookups,ORG,,
├─ Khóa kỳ tự động,Sidebar Item,/settings/auto-lock,Auto lock schedule,ORG-03-02,work_period_locks,sidebar-auto-lock,ORG,,
├─ Thùng rác Org,Sidebar Item,/settings/recycle-bin,Restore entities,"ORG-04-01, ORG-04-02, CEO-06-01","users, projects, tasks",sidebar-org-recycle-bin,ORG+CEO,,
Admin,Sidebar Group,-,Nhóm quản trị,-,-,-,ADMIN,,
├─ Tổ chức,Sidebar Item,/admin/organizations,Quản lý Orgs,SYS-01-01,organizations,sidebar-admin-orgs,SYS,,
├─ Người dùng,Sidebar Item,/admin/users,Quản lý Users,SYS-01-04,users,sidebar-admin-users,SYS,,
├─ Vai trò,Sidebar Item,/admin/roles,Roles/Permissions,SYS-01-05,"roles, permissions, role_permissions",sidebar-admin-roles,SYS,,
├─ Tùy chỉnh Role,Sidebar Item,/admin/roles/customize,Custom permissions,ORG-02-03,"roles, permissions",sidebar-roles-customize,ORG,,
├─ Quota,Sidebar Item,/admin/quotas,Quota per Org,SYS-01-07,org_quotas,sidebar-admin-quotas,SYS,,
├─ Audit Logs,Sidebar Item,/admin/audit-logs,Audit logs,SYS-02-02,audit_logs,sidebar-audit-logs,SYS,,
├─ Impersonate,Sidebar Item,/admin/impersonation,Login thay user,SYS-01-06,impersonation_sessions,sidebar-impersonate,SYS,,
├─ Platform Dashboard,Sidebar Item,/admin/platform-dashboard,SYS Dashboard,SYS-02-01,"organizations, users",sidebar-platform-dashboard,SYS,,
├─ Org đã xóa,Sidebar Item,/admin/deleted-orgs,Deleted Orgs,"SYS-03-01, SYS-03-02, SYS-03-03",organizations,sidebar-deleted-orgs,SYS,,
├─ Duyệt Org,Sidebar Item,/admin/org-approvals,Approve Orgs,"SYS-01-01, SYS-01-02",organizations,sidebar-org-approvals,SYS,,
├─ Mã mời,Sidebar Item,/admin/invites,Invite links,ORG-01-02,org_invites,sidebar-invites,ORG,,
├─ Thành viên,Sidebar Item,/admin/members,Org Members,"ORG-01-01, ORG-01-03, ORG-02-01","users, org_memberships",sidebar-members,ORG,,
=== TASK PAGES ===,,,,,,,,,
Task List Page,Page,/tasks,Danh sách task,"EMP-01-01, EMP-01-02","tasks, task_assignees",task-list-page,ALL,,
├─ Filter Status,Select,/tasks,Lọc theo status,EMP-01-02,task_statuses,filter-status,ALL,,
├─ Filter Priority,Select,/tasks,Lọc theo priority,EMP-01-02,task_priorities,filter-priority,ALL,,
├─ Search Input,Input,/tasks,Tìm kiếm task,EMP-01-02,tasks,input-search,ALL,,
├─ Task Table,Table,/tasks,Bảng danh sách task,EMP-01-01,tasks,tasks-table,ALL,,
├─ Task Row,TableRow,/tasks,Dòng task,EMP-01-01,tasks,task-row-{id},ALL,,
Task Detail Page,Page,/tasks/[id],Chi tiết task,"EMP-01-01, EMP-01-03","tasks, subtasks, task_comments",task-detail-page,ALL,,
├─ Tab Subtasks,Tab,/tasks/[id],Tab đầu việc con,"EMP-01-03, EMP-01-04, EMP-01-05",subtasks,tab-subtasks,ALL,,
├─ Btn Add Subtask,Button,/tasks/[id],Thêm subtask,EMP-01-03,subtasks,btn-add-subtask,ALL,,
├─ Subtask List,List,/tasks/[id],Danh sách subtask,EMP-01-03,subtasks,subtask-list,ALL,,
├─ Subtask Row,ListItem,/tasks/[id],Dòng subtask,EMP-01-03,subtasks,subtask-row-{id},ALL,,
├─ Tab Comments,Tab,/tasks/[id],Tab thảo luận,"EMP-01-07, EMP-01-08, EMP-01-09",task_comments,tab-comments,ALL,,
├─ Comment Input,Textarea,/tasks/[id],Nhập bình luận,EMP-01-07,task_comments,input-comment,ALL,,
├─ Btn Send Comment,Button,/tasks/[id],Gửi bình luận,EMP-01-07,task_comments,btn-send-comment,ALL,,
├─ Tab History,Tab,/tasks/[id],Tab lịch sử,EMP-04-01,activity_logs,tab-history,ALL,,
├─ Tab Attachments,Tab,/tasks/[id],Tab đính kèm,EMP-01-06,task_attachments,tab-attachments,ALL,,
├─ Btn Upload File,Button,/tasks/[id],Upload file,EMP-01-06,task_attachments,btn-upload-file,ALL,,
├─ Btn Log Time,Button,/tasks/[id],Log time,EMP-02-01,time_logs,btn-log-time,ALL,,
Task Create Page,Page,/tasks/new,Tạo task mới,"MNG-01-02, MNG-01-03","tasks, projects",task-create-page,MNG,,
├─ Input Title,Input,/tasks/new,Tên task,MNG-01-02,tasks,input-title,MNG,,
├─ Select Project,Select,/tasks/new,Chọn dự án,MNG-01-02,projects,select-project,MNG,,
├─ Select Priority,Select,/tasks/new,Độ ưu tiên,MNG-01-03,task_priorities,select-priority,MNG,,
├─ Select Assignees,MultiSelect,/tasks/new,Người thực hiện,MNG-01-02,task_assignees,select-assignees,MNG,,
├─ Input Due Date,DatePicker,/tasks/new,Ngày deadline,MNG-01-02,tasks,input-due-date,MNG,,
├─ Btn Submit,Button,/tasks/new,Tạo task,MNG-01-02,-,btn-create-task,MNG,,
Kanban Board Page,Page,/tasks/kanban,Kanban view,EMP-01-01,"tasks, task_statuses",kanban-page,ALL,,
├─ Kanban Column,Column,/tasks/kanban,Cột trạng thái,EMP-01-01,task_statuses,kanban-column-{status},ALL,,
├─ Kanban Card,Card,/tasks/kanban,Card task,EMP-01-01,tasks,kanban-card-{id},ALL,,
=== PROJECT PAGES ===,,,,,,,,,
Project List Page,Page,/projects,Danh sách dự án,"MNG-01-01, CEO-01-01","projects, project_members",project-list-page,MNG+,,
├─ Btn Create Project,Button,/projects,Tạo dự án mới,MNG-01-01,-,btn-create-project,MNG,,
├─ Project Card,Card,/projects,Card dự án,MNG-01-01,projects,project-card-{id},MNG+,,
Project Create Page,Page,/projects/new,Tạo dự án mới,MNG-01-01,"projects, project_members",project-create-page,MNG,,
├─ Input Name,Input,/projects/new,Tên dự án,MNG-01-01,projects,input-project-name,MNG,,
├─ Input Description,Textarea,/projects/new,Mô tả,MNG-01-01,projects,input-description,MNG,,
├─ Input Start Date,DatePicker,/projects/new,Ngày bắt đầu,MNG-01-01,projects,input-start-date,MNG,,
├─ Input End Date,DatePicker,/projects/new,Ngày kết thúc,MNG-01-01,projects,input-end-date,MNG,,
├─ Select Members,MultiSelect,/projects/new,Thành viên,MNG-01-01,project_members,select-members,MNG,,
├─ Btn Submit,Button,/projects/new,Tạo dự án,MNG-01-01,-,btn-create-project,MNG,,
=== PROJECT DETAIL PAGES ===,,,,,,,,,
Project Overview,Page,/projects/[id]/overview,Dashboard dự án,MNG-02-01,"projects, tasks, project_members",project-overview-page,MNG+,,
├─ Stat Tasks,Card,/projects/[id]/overview,Thống kê tasks,MNG-02-01,tasks,stat-tasks,MNG+,,
├─ Stat Completion,Card,/projects/[id]/overview,Tỷ lệ hoàn thành,MNG-02-01,tasks,stat-completion,MNG+,,
├─ Stat Overdue,Card,/projects/[id]/overview,Tasks quá hạn,MNG-02-01,tasks,stat-overdue,MNG+,,
├─ Chart Status,Chart,/projects/[id]/overview,Biểu đồ status,MNG-02-01,tasks,chart-status,MNG+,,
Gantt Chart Page,Page,/projects/[id]/gantt,Biểu đồ Gantt,"MNG-09-01, MNG-09-02",tasks,gantt-page,MNG+,,
Gantt Filters Page,Page,/projects/[id]/gantt/filters,Gantt với bộ lọc,"MNG-09-03, MNG-09-04","tasks, users",gantt-filters-page,MNG,,
├─ Filter Status,Select,-,Lọc theo status,MNG-09-03,task_statuses,filter-status,MNG,,
├─ Filter Assignee,Select,-,Lọc theo người,MNG-09-04,users,filter-assignee,MNG,,
├─ Filter Scale,Select,-,Chọn scale,MNG-09-02,-,filter-scale,MNG,,
Documents Page,Page,/projects/[id]/documents,Tài liệu dự án,MNG-01-06,project_documents,project-documents-page,MNG+,,
├─ Btn Upload Doc,Button,-,Upload tài liệu,MNG-01-06,project_documents,btn-upload-doc,MNG,,
├─ Doc List,Table,-,Danh sách tài liệu,MNG-01-06,project_documents,doc-list,MNG+,,
Resources Page,Page,/projects/[id]/resources,Git/Deploy/API,"MNG-05-01, MNG-05-02, MNG-05-03, MNG-05-04",project_resources,project-resources-page,MNG,,
├─ Btn Add Resource,Button,-,Thêm resource,MNG-05-01,project_resources,btn-add-resource,MNG,,
├─ Stat Git,Card,-,Thống kê Git,MNG-05-01,project_resources,stat-git,MNG,,
├─ Stat Deploy,Card,-,Thống kê Deploy,MNG-05-02,project_resources,stat-deploy,MNG,,
├─ Stat Doc,Card,-,Thống kê Doc,MNG-05-03,project_resources,stat-doc,MNG,,
├─ Stat API,Card,-,Thống kê API,MNG-05-04,project_resources,stat-api,MNG,,
Quality Page,Page,/projects/[id]/quality,Bug tracking,MNG-01-05,"tasks, task_types",project-quality-page,MNG+,,
Time Locks Page,Page,/projects/[id]/time-locks,Khóa/Mở kỳ,"MNG-04-01, MNG-04-02",work_period_locks,time-locks-page,MNG,,
├─ Btn Create Lock,Button,-,Tạo khóa kỳ,MNG-04-01,work_period_locks,btn-create-lock,MNG,,
├─ Lock Table,Table,-,Danh sách khóa kỳ,MNG-04-01,work_period_locks,lock-table,MNG,,
├─ Btn Toggle Lock,Button,-,Bật/tắt khóa,MNG-04-02,work_period_locks,btn-toggle-{id},MNG,,
Import/Export Page,Page,/projects/[id]/import-export,Import/Export Excel,"MNG-01-12, MNG-01-15",tasks,import-export-page,MNG,,
├─ Btn Import,Button,-,Import từ Excel,MNG-01-15,tasks,btn-import,MNG,,
├─ Btn Export,Button,-,Export ra Excel,MNG-01-12,tasks,btn-export,MNG,,
Project Cost Page,Page,/projects/[id]/cost,Chi phí dự án,CEO-02-02,"time_logs, hr_career_path",project-cost-page,CEO,,
Bulk Assign Page,Page,/projects/[id]/bulk-assign,Phân công hàng loạt,MNG-02-01,"tasks, task_assignees, users",bulk-assign-page,MNG,,
├─ Checkbox Select All,Checkbox,-,Chọn tất cả,MNG-02-01,-,checkbox-select-all,MNG,,
├─ Task Checkbox,Checkbox,-,Chọn task,MNG-02-01,-,checkbox-task-{id},MNG,,
├─ Btn Bulk Assign,Button,-,Phân công,MNG-02-01,task_assignees,btn-bulk-assign,MNG,,
Workload Page,Page,/projects/[id]/workload,Workload monitoring,"MNG-02-02, MNG-02-03","tasks, task_assignees, time_logs",workload-page,MNG,,
├─ Member Row,TableRow,-,Dòng thành viên,MNG-02-02,users,member-row-{id},MNG,,
├─ Progress Bar,Progress,-,Thanh workload,MNG-02-03,-,workload-bar-{id},MNG,,
Team Reports Page,Page,/projects/[id]/team-reports,Báo cáo team,"MNG-05-01, MNG-05-02, MNG-05-03","reports, users",team-reports-page,MNG,,
├─ Report Row,TableRow,-,Dòng báo cáo,MNG-05-01,reports,report-row-{id},MNG,,
├─ Btn Approve,Button,-,Duyệt báo cáo,MNG-05-02,reports,btn-approve-{id},MNG,,
├─ Btn Reject,Button,-,Từ chối báo cáo,MNG-05-03,reports,btn-reject-{id},MNG,,
Performance Page,Page,/projects/[id]/performance,Hiệu suất team,"MNG-03-03, MNG-03-04","tasks, time_logs, users",performance-page,MNG,,
├─ Member Card,Card,-,Card thành viên,MNG-03-03,users,member-{id},MNG,,
├─ Rank Badge,Badge,-,Xếp hạng,MNG-03-04,-,rank-{id},MNG,,
=== PROJECT SETTINGS ===,,,,,,,,,
Field Permissions Page,Page,/projects/[id]/settings/field-permissions,Phân quyền field,MNG-01-13,project_field_user_permissions,field-permissions-page,MNG,,
├─ Permission Toggle,Switch,-,Bật/tắt quyền,MNG-01-13,project_field_user_permissions,toggle-{user}-{field},MNG,,
Notifications Page,Page,/projects/[id]/settings/notifications,Thông báo per project,MNG-07-03,project_notification_settings,notification-settings-page,MNG,,
├─ Toggle Email,Switch,-,Bật/tắt email,MNG-07-03,project_notification_settings,toggle-email,MNG,,
├─ Toggle InApp,Switch,-,Bật/tắt in-app,MNG-07-03,project_notification_settings,toggle-inapp,MNG,,
Tags Page,Page,/projects/[id]/settings/tags,Quản lý tags,MNG-01-03,project_tags,tag-management-page,MNG,,
├─ Btn Create Tag,Button,-,Tạo tag mới,MNG-01-03,project_tags,btn-create-tag,MNG,,
├─ Tag Card,Card,-,Card tag,MNG-01-03,project_tags,tag-{id},MNG,,
├─ Input Tag Name,Input,-,Tên tag,MNG-01-03,project_tags,input-tag-name,MNG,,
├─ Input Tag Color,ColorPicker,-,Màu tag,MNG-01-03,project_tags,input-custom-color,MNG,,
Custom Fields Page,Page,/projects/[id]/settings/custom-fields,Custom fields,MNG-01-10,"project_custom_fields, project_custom_field_values",custom-fields-page,MNG,,
├─ Btn Add Field,Button,-,Thêm field,MNG-01-10,project_custom_fields,btn-add-field,MNG,,
├─ Select Field Type,Select,-,Loại field,MNG-01-10,project_custom_fields,select-field-type,MNG,,
├─ Input Field Name,Input,-,Tên field,MNG-01-10,project_custom_fields,input-field-name,MNG,,
Workflow Page,Page,/projects/[id]/settings/workflow,Workflow transitions,"MNG-06-01, MNG-06-02","task_statuses, workflow_transitions",workflow-settings-page,MNG,,
├─ Status Row,TableRow,-,Dòng status,MNG-06-01,task_statuses,status-row-{id},MNG,,
├─ Transition Matrix,Table,-,Ma trận chuyển đổi,MNG-06-02,workflow_transitions,transition-matrix,MNG,,
=== REPORTS ===,,,,,,,,,
Reports List Page,Page,/reports,Danh sách báo cáo,"EMP-03-01, MNG-04-03, CEO-03-01","reports, report_comments",reports-page,ALL,,
├─ Btn Create Report,Button,-,Tạo báo cáo,EMP-03-01,reports,btn-create-report,ALL,,
├─ Report Table,Table,-,Bảng báo cáo,EMP-03-01,reports,reports-table,ALL,,
Report Detail Page,Page,/reports/[id],Chi tiết báo cáo,"EMP-03-03, CEO-03-02, CEO-03-03","reports, report_comments, report_reactions",report-detail-page,ALL,,
├─ Comment Section,Section,-,Bình luận,CEO-03-03,report_comments,comment-section,ALL,,
├─ Reaction Buttons,ButtonGroup,-,Emoji reactions,CEO-03-02,report_reactions,reaction-buttons,ALL,,
Cost Analysis Page,Page,/reports/cost-analysis,Phân tích chi phí,CEO-02-01,"time_logs, hr_career_path",cost-analysis-page,CEO,,
├─ Filter Department,Select,-,Lọc phòng ban,CEO-02-01,users,filter-department,CEO,,
├─ Filter Date Range,DateRangePicker,-,Lọc thời gian,CEO-02-01,time_logs,filter-date-range,CEO,,
├─ Btn Export,Button,-,Xuất báo cáo,CEO-02-01,-,btn-export,CEO,,
=== TIME LOGS ===,,,,,,,,,
Time Logs Page,Page,/time-logs,Nhật ký thời gian,"EMP-02-01, EMP-02-02, EMP-02-03, EMP-02-04","time_logs, tasks",time-logs-page,ALL,,
├─ Btn Log Time,Button,-,Log time mới,EMP-02-01,time_logs,btn-log-time,ALL,,
├─ Log Table,Table,-,Bảng log time,EMP-02-03,time_logs,log-table,ALL,,
├─ Log Row,TableRow,-,Dòng log,EMP-02-03,time_logs,log-row-{id},ALL,,
├─ Btn Edit Log,Button,-,Sửa log,EMP-02-04,time_logs,btn-edit-{id},ALL,,
├─ Btn Delete Log,Button,-,Xóa log,EMP-02-04,time_logs,btn-delete-{id},ALL,,
=== HR ===,,,,,,,,,
HR Management Page,Page,/hr-management,Quản lý nhân sự,"MNG-03-01, CEO-02-01","users, hr_career_path",hr-management-page,MNG+,,
├─ Employee Table,Table,-,Bảng nhân sự,MNG-03-01,users,employee-table,MNG+,,
├─ Employee Row,TableRow,-,Dòng nhân sự,MNG-03-01,users,employee-row-{id},MNG+,,
Contracts Page,Page,/hr/contracts,Hợp đồng lao động,CEO-02-03,"hr_contracts, users",contracts-page,CEO,,
├─ Contract Row,TableRow,-,Dòng hợp đồng,CEO-02-03,hr_contracts,contract-row-{id},CEO,,
├─ Btn Download,Button,-,Tải hợp đồng,CEO-02-03,hr_contracts,btn-download-{id},CEO,,
Employee Timeline Page,Page,/hr/employees/[id]/timeline,Lịch sử nhân viên,CEO-01-02,"users, org_memberships, hr_career_path",employee-timeline-page,CEO,,
├─ Timeline Event,Card,-,Sự kiện timeline,CEO-01-02,hr_career_path,event-{id},CEO,,
=== CEO DASHBOARD ===,,,,,,,,,
Executive Dashboard Page,Page,/executive/dashboard,Dashboard CEO,CEO-01-01,"projects, tasks, users, time_logs",executive-dashboard-page,CEO,,
├─ Stat Active Projects,Card,-,Dự án đang chạy,CEO-01-01,projects,stat-active-projects,CEO,,
├─ Stat Total Employees,Card,-,Tổng nhân viên,CEO-01-01,users,stat-total-employees,CEO,,
├─ Stat Total Revenue,Card,-,Doanh thu,CEO-01-01,time_logs,stat-total-revenue,CEO,,
├─ Stat Overdue Tasks,Card,-,Task quá hạn,CEO-01-01,tasks,stat-overdue-tasks,CEO,,
├─ Top Performers,Table,-,Top nhân viên,CEO-01-01,"tasks, users",top-performers-table,CEO,,
├─ Overdue Projects,Table,-,Dự án trễ,CEO-01-01,projects,overdue-projects-table,CEO,,
Alerts Page,Page,/alerts,"Cảnh báo ""đỏ""",CEO-05-02,"tasks, projects",alerts-page,CEO,,
├─ Alert Row,Card,-,Dòng cảnh báo,CEO-05-02,"tasks, projects",alert-row-{id},CEO,,
├─ Btn Dismiss,Button,-,Bỏ qua,CEO-05-02,-,btn-dismiss-{id},CEO,,
├─ Btn View Detail,Button,-,Xem chi tiết,CEO-05-02,-,btn-view-{id},CEO,,
=== ADMIN - SYS ===,,,,,,,,,
Organizations Page,Page,/admin/organizations,Quản lý Orgs,SYS-01-01,organizations,admin-orgs-page,SYS,,
├─ Btn Create Org,Button,-,Tạo Org,SYS-01-01,organizations,btn-create-org,SYS,,
├─ Org Table,Table,-,Bảng Orgs,SYS-01-01,organizations,org-table,SYS,,
Users Admin Page,Page,/admin/users,Quản lý Users,SYS-01-04,users,admin-users-page,SYS,,
├─ Btn Reset Password,Button,-,Reset password,SYS-01-04,users,btn-reset-{id},SYS,,
Roles Page,Page,/admin/roles,Quản lý Roles,SYS-01-05,"roles, permissions",admin-roles-page,SYS,,
Role Customize Page,Page,/admin/roles/customize,Tùy chỉnh Roles,ORG-02-03,"roles, permissions",role-customization-page,ORG,,
├─ Permission Checkbox,Checkbox,-,Toggle quyền,ORG-02-03,permissions,perm-{key},ORG,,
├─ Btn Clone Role,Button,-,Clone Role,ORG-02-03,roles,btn-clone-{id},ORG,,
Quotas Page,Page,/admin/quotas,Cấu hình Quota,SYS-01-07,org_quotas,admin-quotas-page,SYS,,
Audit Logs Page,Page,/admin/audit-logs,Audit logs,SYS-02-02,audit_logs,audit-logs-page,SYS,,
├─ Filter Org,Select,-,Lọc Org,SYS-02-02,organizations,filter-org,SYS,,
├─ Filter User,Select,-,Lọc User,SYS-02-02,users,filter-user,SYS,,
├─ Filter Action,Select,-,Lọc action,SYS-02-02,audit_logs,filter-action,SYS,,
Impersonate Page,Page,/admin/impersonation,Impersonate,SYS-01-06,impersonation_sessions,impersonate-page,SYS,,
├─ Select Org,Select,-,Chọn Org,SYS-01-06,organizations,select-org,SYS,,
├─ Select User,Select,-,Chọn User,SYS-01-06,users,select-user,SYS,,
├─ Input Reason,Textarea,-,Lý do,SYS-01-06,impersonation_sessions,input-reason,SYS,,
├─ Btn Impersonate,Button,-,Đăng nhập thay,SYS-01-06,-,btn-impersonate,SYS,,
Platform Dashboard Page,Page,/admin/platform-dashboard,SYS Dashboard,SYS-02-01,"organizations, users",platform-dashboard-page,SYS,,
├─ Stat Total Orgs,Card,-,Tổng Orgs,SYS-02-01,organizations,stat-total-orgs,SYS,,
├─ Stat Total Users,Card,-,Tổng Users,SYS-02-01,users,stat-total-users,SYS,,
├─ Stat Storage Used,Card,-,Storage dùng,SYS-02-01,org_quotas,stat-storage-used,SYS,,
Deleted Orgs Page,Page,/admin/deleted-orgs,Quản lý Org đã xóa,"SYS-03-01, SYS-03-02, SYS-03-03",organizations,deleted-orgs-page,SYS,,
├─ Btn Restore,Button,-,Khôi phục,SYS-03-02,organizations,btn-restore-{id},SYS,,
├─ Btn Hard Delete,Button,-,Xóa vĩnh viễn,SYS-03-03,organizations,btn-hard-delete-{id},SYS,,
Org Approvals Page,Page,/admin/org-approvals,Duyệt Org mới,"SYS-01-01, SYS-01-02",organizations,org-approvals-page,SYS,,
├─ Btn Approve,Button,-,Duyệt,SYS-01-02,organizations,btn-approve-{id},SYS,,
├─ Btn Reject,Button,-,Từ chối,SYS-01-02,organizations,btn-reject-{id},SYS,,
=== ADMIN - ORG ===,,,,,,,,,
Invites Page,Page,/admin/invites,Quản lý Invites,ORG-01-02,org_invites,invites-page,ORG,,
├─ Btn Create Invite,Button,-,Tạo mã mời,ORG-01-02,org_invites,btn-create-invite,ORG,,
├─ Btn Copy Link,Button,-,Copy link,ORG-01-02,-,btn-copy-{id},ORG,,
├─ Btn Revoke,Button,-,Thu hồi,ORG-01-02,org_invites,btn-revoke-{id},ORG,,
Members Page,Page,/admin/members,Quản lý Members,"ORG-01-01, ORG-01-03, ORG-02-01","users, org_memberships",members-page,ORG,,
├─ Btn Invite User,Button,-,Mời user,ORG-01-02,-,btn-invite-user,ORG,,
├─ Select Role,Select,-,Đổi role,ORG-02-01,roles,select-role-{id},ORG,,
├─ Btn Deactivate,Button,-,Vô hiệu hóa,ORG-01-03,org_memberships,btn-deactivate-{id},ORG,,
├─ Btn Reactivate,Button,-,Kích hoạt lại,ORG-01-04,org_memberships,btn-reactivate-{id},ORG,,
=== SETTINGS ===,,,,,,,,,
Profile Page,Page,/settings/profile,Hồ sơ cá nhân,EMP-00-01,users,profile-page,ALL,,
├─ Input Full Name,Input,-,Họ tên,EMP-00-01,users,input-full-name,ALL,,
├─ Input Email,Input,-,Email,EMP-00-01,users,input-email,ALL,,
├─ Avatar Upload,FileInput,-,Avatar,EMP-00-01,users,input-avatar,ALL,,
├─ Btn Save,Button,-,Lưu,EMP-00-01,-,btn-save,ALL,,
Workspace Page,Page,/settings/workspace,Cấu hình Org,ORG-03-01,organizations,workspace-page,ORG,,
├─ Input Org Name,Input,-,Tên tổ chức,ORG-03-01,organizations,input-org-name,ORG,,
├─ Logo Upload,FileInput,-,Logo,ORG-03-01,organizations,input-logo,ORG,,
Lookups Page,Page,/settings/lookups,Danh mục,ORG-03-03,"task_statuses, task_priorities, task_types",lookups-page,ORG,,
├─ Tab Statuses,Tab,-,Tab Statuses,ORG-03-03,task_statuses,tab-statuses,ORG,,
